Title,Image,kfi5wf,jdzyld,nfofm
Telok Ayer Market,,4.2," (9,163)",Restored Victorian-style food market
S.E.A. Aquarium,,4.6," (19,560)",Sprawling marine life attraction
Asian Civilisations Museum,,4.5," (3,637)",Exhibits on Singapore's many cultures
Fountain of Wealth,,4.4," (2,484)",Giant landmark fountain in a mall
Science Centre Singapore,,4.4," (6,409)",Educational museum with interactive play
CHIJMES,,4.5," (7,070)",Dining complex in a 19th-century convent
Bukit Timah Nature Reserve,,4.5," (6,902)",Tropical hilltop reserve for nature
Supertree Grove,,4.7," (32,267)",Vertical gardens that look like trees
Saint John's Island,,4.5, (87),Lush island & day-trip destination
Wings Of Time,,4.6," (13,464)",Venue for a colorful nighttime show
Flower Dome,,4.7," (12,159)",Enormous greenhouse with exotic plants
Sri Veeramakaliamman Temple,,4.6," (5,496)",Venerable Hindu shrine with ornate decor
Marine Life Park,,4.5, (516),SEA Aquarium & Adventure Cove Waterpark
Cloud Forest,,4.7," (14,281)",Botanical garden in a modern greenhouse
Wild Wild Wet @ Downtown East,,4.4," (2,848)",Water park with big slides & eateries
Tanjong Beach,,4.5, (46),Pristine beach with a club & loungers
Chinese Garden,,4.4," (2,853)",Spacious gardens with walking paths
Sungei Buloh Wetland Reserve,,4.5," (2,665)",Wetland reserve & nature park
SkyPark Observation Deck,,4.6," (6,053)",Observation deck with 57th-floor views
Adventure Cove Waterpark,,4.4," (3,631)",Marine creatures & aquatic activities
HortPark,,4.4," (2,511)",Landscaped gardens with tours & classes
Battlebox,,4.6, (672),Military museum in a WWII-era bunker
Thian Hock Keng Temple,,4.4," (1,602)",Old temple with classic Chinese details
Singapore Art Museum,,4.3," (1,230)",Contemporary art in old school building
Madame Tussauds Singapore,,4.4," (7,760)",Wax museum featuring notable Americans
Chek Jawa Wetlands,,4.6, (741),Inter-tidal area with a visitor centre
Palawan Beach,,4.3, (385),Tranquil beach with a suspension bridge
Tekka Centre,,4.1," (15,770)","Market for fresh produce, food & clothes"
Butterfly Park & Insect Kingdom,,4.0," (1,933)",Interactive bug zoo in a tropical garden
Snow City Singapore,,3.6," (1,157)","Indoor, sub-zero center with play areas"
Battlestar Galactica,,4.7, (304),Roller coaster and amusement ride
Trick Eye Museum Singapore,,4.2," (2,422)",Interactive museum of optical illusions
Images of Singapore LIVE,,4.0, (82),Local history museum with actor guides
Labrador Nature Reserve,,4.5," (3,153)",Scenic waterside park with trails
St. Andrew's Cathedral,,4.4," (1,191)","Airy, early Gothic-style sanctuary"
Changi Museum,,4.2, (285),WWII exhibits & artifacts on display
OCBC Skyway,,4.6, (945),Aerial walkway with views of Supertrees
Kwan Im Thong Hood Cho Temple,,4.6," (5,795)","Colorful, ornamental Buddhist temple"
The Istana,,4.4, (244),Presidential palace & gardens
Bishan-Ang Mo Kio Park,,4.5," (6,167)",153-acre former-canalside city park
Serangoon Island,,4.4, (245),Natural island park with beaches
Singapore Discovery Centre,,4.1," (1,145)",Exhibits on Singapore's history & future
Singapore River Cruise,,4.4, (610),Bumboat river tours past city landmarks
Sisters' Islands,,3.9, (35),Island with coral reefs & national park
Punggol Waterway Park,,4.4," (2,027)",Waterside paths & kids' play areas
Clarke Quay,,,,Pedestrian mall with clubs & eateries
Red Dot Design Museum,,4.2," (3,273)",Museum of international design
Japanese Garden,,4.4, (614),Tranquil park with picturesque features
Sentosa 4D AdventureLand,,4.1," (1,067)",Playful place for interactive movies
Pasir Ris Town Park,,4.3," (5,200)","Play area, pond & trails in lush setting"
Changi Beach Park,,4.4," (4,420)",Sandy beach with bike paths & BBQ areas
Chinatown Heritage Centre,,4.4," (2,675)",Shophouse museum of Chinatown history
Kent Ridge Park,,4.5," (1,076)",Naturalistic park & site of WWII battle
MINT Museum of Toys,,3.8, (420),Vintage toys & childhood memorabilia
iFly Singapore,,4.3, (968),Simulated skydiving in wind tunnel
Sembawang Park,,4.3," (3,268)",Shaded park with beach & picnic shelters
The Arts House,,4.4, (879),"Visual, performing & cinema arts venue"
